iter	Passed	Remaining
488	672	702
489	674	702
490	676	701
491	677	699
492	678	698
493	679	696
494	681	694
495	682	693
496	683	691
497	684	689
498	685	688
499	686	686
500	687	684
501	688	683
502	689	681
503	690	679
504	692	678
505	693	677
506	694	675
507	695	674
508	697	672
509	698	670
510	699	669
511	700	667
512	701	665
513	702	664
514	703	662
515	704	660
516	705	659
517	706	657
518	707	656
519	709	654
520	710	653
521	712	652
522	713	650
523	714	648
524	715	647
525	716	645
526	717	644
527	718	642
528	719	641
529	721	639
530	722	637
531	723	636
532	724	634
533	725	633
534	726	631
535	727	630
536	729	629
537	730	627
538	731	625
539	732	624
540	734	622
541	735	621
542	736	620
543	737	618
544	739	616
545	740	615
546	741	613
547	742	612
548	743	610
549	744	609
550	745	607
551	747	606
552	749	605
553	750	604
554	752	603
555	753	601
556	754	600
557	755	598
558	757	597
559	758	595
560	759	594
561	760	592
562	761	590
563	762	589
564	764	588
565	765	587
566	766	585
567	768	584
568	769	582
569	770	581
570	771	579
571	772	578
572	773	576
573	774	574
574	776	573
575	777	572
576	778	570
577	779	569
578	780	567
579	782	566
580	783	565
581	784	563
582	786	562
583	787	560
584	788	559
585	789	557
586	790	556
587	792	555
588	793	553
589	794	552
590	795	550
591	796	548
592	797	547
593	798	545
594	800	544
595	801	543
596	802	541
597	804	540
598	805	539
599	806	537
600	807	536
601	808	534
602	809	533
603	810	531
604	811	530
605	812	528
606	813	526
607	814	525
608	816	523
609	817	522
610	819	521
611	820	520
612	822	519
613	823	517
614	825	516
615	826	515
616	827	513
617	828	512
618	829	510
619	830	509
620	831	507
621	833	506
622	834	504
623	836	503
624	837	502
625	838	501
626	840	499
627	841	498
628	842	497
629	843	495
630	844	494
631	846	492
632	847	491
633	848	489
634	849	488
635	850	486
636	851	485
637	853	484
638	854	482
639	855	481
640	857	480
641	858	478
642	859	477
643	860	475
644	862	474
645	863	473
646	864	471
647	866	470
648	867	469
649	868	467
650	869	466
651	871	465
652	872	463
653	874	462
654	875	460
655	876	459
656	877	458
657	878	456
658	879	455
659	880	453
660	881	452
661	883	450
662	884	449
663	885	447
664	886	446
665	887	445
666	888	443
667	891	443
668	892	441
669	894	440
670	895	438
671	896	437
672	897	436
673	899	434
674	900	433
675	901	432
676	902	430
677	904	429
678	905	427
679	908	427
680	909	426
681	911	424
682	912	423
683	913	421
684	914	420
685	916	419
686	917	417
687	918	416
688	919	415
689	921	413
690	922	412
691	923	411
692	924	409
693	927	409
694	929	407
695	930	406
696	931	404
697	932	403
698	934	402
699	935	400
700	936	399
701	937	398
702	939	396
703	940	395
704	941	393
705	942	392
706	945	391
707	947	390
708	949	389
709	950	388
710	952	386
711	953	385
712	954	384
713	955	382
714	957	381
715	958	380
716	960	378
717	963	378
718	965	377
719	968	376
720	970	375
721	972	374
722	973	372
723	975	371
724	977	370
725	987	372
726	990	371
727	992	370
728	993	369
729	994	367
730	996	366
731	999	365
732	1001	364
733	1004	364
734	1006	362
735	1008	361
736	1009	360
737	1011	359
738	1012	357
739	1014	356
740	1015	354
741	1021	355
742	1026	355
743	1028	353
744	1029	352
745	1031	351
746	1032	349
747	1034	348
748	1036	347
749	1037	345
750	1039	344
751	1040	343
752	1042	341
753	1043	340
754	1044	339
